id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
144,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,DESEMBER,449.0,MILIMETER,2017
145,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,145.0,MILIMETER,2018
146,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,379.0,MILIMETER,2018
147,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,153.0,MILIMETER,2018
148,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,229.0,MILIMETER,2018
149,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,369.0,MILIMETER,2018
150,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,268.0,MILIMETER,2018
151,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,73.0,MILIMETER,2018
152,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,16.0,MILIMETER,2018
153,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,136.0,MILIMETER,2018
154,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,163.0,MILIMETER,2018
155,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,247.0,MILIMETER,2018
156,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,303.0,MILIMETER,2018
157,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,368.5,MILIMETER,2018
158,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,261.0,MILIMETER,2018
159,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,169.5,MILIMETER,2018
160,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,201.5,MILIMETER,2018
161,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,196.0,MILIMETER,2018
162,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,291.0,MILIMETER,2018
163,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,65.0,MILIMETER,2018
164,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,234.0,MILIMETER,2018
165,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,151.5,MILIMETER,2018
166,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,297.0,MILIMETER,2018
167,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,162.0,MILIMETER,2018
168,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,DESEMBER,61.0,MILIMETER,2018
169,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JANUARI,355.5,MILIMETER,2018
170,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,FEBRUARI,620.5,MILIMETER,2018
171,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MARET,433.0,MILIMETER,2018
172,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,APRIL,379.0,MILIMETER,2018
173,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MEI,203.0,MILIMETER,2018
174,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JUNI,176.5,MILIMETER,2018
175,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JULI,56.0,MILIMETER,2018
176,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,AGUSTUS,5.0,MILIMETER,2018
177,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,SEPTEMBER,118.5,MILIMETER,2018
178,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,OKTOBER,125.0,MILIMETER,2018
179,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,NOVEMBER,624.0,MILIMETER,2018
180,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,DESEMBER,205.5,MILIMETER,2018
181,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JANUARI,178.0,MILIMETER,2018
182,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,FEBRUARI,199.0,MILIMETER,2018
183,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MARET,181.0,MILIMETER,2018
184,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,APRIL,210.0,MILIMETER,2018
185,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MEI,136.5,MILIMETER,2018
186,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JUNI,141.5,MILIMETER,2018
187,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JULI,2.5,MILIMETER,2018
188,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,AGUSTUS,10.0,MILIMETER,2018
189,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,SEPTEMBER,22.0,MILIMETER,2018
190,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,OKTOBER,256.5,MILIMETER,2018
191,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,NOVEMBER,254.0,MILIMETER,2018
192,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,DESEMBER,289.0,MILIMETER,2018
193,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,310.0,MILIMETER,2019
194,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,227.0,MILIMETER,2019
195,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,365.0,MILIMETER,2019
196,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,531.0,MILIMETER,2019
197,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,219.0,MILIMETER,2019
198,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,121.0,MILIMETER,2019
199,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,85.0,MILIMETER,2019
200,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,227.0,MILIMETER,2019
201,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,72.0,MILIMETER,2019
202,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,437.0,MILIMETER,2019
203,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,317.0,MILIMETER,2019
204,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,437.0,MILIMETER,2019
205,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,413.0,MILIMETER,2019
206,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,168.0,MILIMETER,2019
207,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,286.0,MILIMETER,2019
208,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,657.0,MILIMETER,2019
209,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,126.0,MILIMETER,2019
210,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,121.5,MILIMETER,2019
211,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,53.0,MILIMETER,2019
212,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,76.0,MILIMETER,2019
213,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,0.0,MILIMETER,2019
214,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,93.0,MILIMETER,2019
215,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,189.0,MILIMETER,2019
216,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,DESEMBER,248.0,MILIMETER,2019
217,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JANUARI,176.0,MILIMETER,2019
218,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,FEBRUARI,321.0,MILIMETER,2019
219,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MARET,124.0,MILIMETER,2019
220,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,APRIL,376.0,MILIMETER,2019
221,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MEI,65.5,MILIMETER,2019
222,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JUNI,37.5,MILIMETER,2019
223,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JULI,35.7,MILIMETER,2019
224,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,AGUSTUS,2.0,MILIMETER,2019
225,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,SEPTEMBER,3.0,MILIMETER,2019
226,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,OKTOBER,158.5,MILIMETER,2019
227,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,NOVEMBER,76.5,MILIMETER,2019
228,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,DESEMBER,215.5,MILIMETER,2019
229,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JANUARI,193.0,MILIMETER,2019
230,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,FEBRUARI,35.0,MILIMETER,2019
231,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MARET,77.0,MILIMETER,2019
232,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,APRIL,322.0,MILIMETER,2019
233,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MEI,142.5,MILIMETER,2019
234,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JUNI,108.5,MILIMETER,2019
235,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JULI,78.0,MILIMETER,2019
236,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,AGUSTUS,134.0,MILIMETER,2019
237,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,SEPTEMBER,50.0,MILIMETER,2019
238,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,OKTOBER,56.0,MILIMETER,2019
239,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,NOVEMBER,191.5,MILIMETER,2019
240,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,DESEMBER,339.5,MILIMETER,2019
241,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,447.0,MILIMETER,2020
242,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,376.0,MILIMETER,2020
243,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,411.0,MILIMETER,2020
244,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,153.0,MILIMETER,2020
245,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,274.0,MILIMETER,2020
246,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,123.0,MILIMETER,2020
247,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,192.0,MILIMETER,2020
248,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,171.0,MILIMETER,2020
249,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,151.0,MILIMETER,2020
250,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,353.0,MILIMETER,2020
251,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,181.0,MILIMETER,2020
252,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,64.0,MILIMETER,2020
253,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,122.0,MILIMETER,2020
254,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,336.0,MILIMETER,2020
255,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,265.0,MILIMETER,2020
256,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,162.0,MILIMETER,2020
257,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,184.0,MILIMETER,2020
258,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,104.0,MILIMETER,2020
259,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,105.0,MILIMETER,2020
260,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,133.0,MILIMETER,2020
261,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,SEPTEMBER,217.0,MILIMETER,2020
262,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,OKTOBER,519.0,MILIMETER,2020
263,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,NOVEMBER,181.0,MILIMETER,2020
264,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,DESEMBER,114.0,MILIMETER,2020
265,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JANUARI,246.0,MILIMETER,2020
266,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,FEBRUARI,352.0,MILIMETER,2020
267,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MARET,284.0,MILIMETER,2020
268,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,APRIL,156.5,MILIMETER,2020
269,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,MEI,241.0,MILIMETER,2020
270,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JUNI,46.5,MILIMETER,2020
271,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,JULI,9.0,MILIMETER,2020
272,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,AGUSTUS,7.5,MILIMETER,2020
273,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,SEPTEMBER,92.5,MILIMETER,2020
274,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,OKTOBER,325.5,MILIMETER,2020
275,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,NOVEMBER,247.0,MILIMETER,2020
276,32,JAWA BARAT,CILIWUNG-CISADANE,GUNUNG MAS,DESEMBER,216.5,MILIMETER,2020
277,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JANUARI,382.5,MILIMETER,2020
278,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,FEBRUARI,163.5,MILIMETER,2020
279,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MARET,361.5,MILIMETER,2020
280,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,APRIL,109.0,MILIMETER,2020
281,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,MEI,79.5,MILIMETER,2020
282,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JUNI,46.0,MILIMETER,2020
283,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,JULI,36.0,MILIMETER,2020
284,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,AGUSTUS,53.5,MILIMETER,2020
285,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,SEPTEMBER,186.0,MILIMETER,2020
286,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,OKTOBER,460.5,MILIMETER,2020
287,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,NOVEMBER,174.0,MILIMETER,2020
288,32,JAWA BARAT,CILIWUNG-CISADANE,KURIPAN,DESEMBER,99.5,MILIMETER,2020
